Geography,Period,VariableName,VariableValue,Product,Campaign,Outlet,Creative
geo_0,2022-01-03,Sales,10443.928744014547,,,,
geo_0,2022-01-10,Sales,10244.525706886214,,,,
geo_0,2022-01-17,Sales,10673.173784527955,,,,
geo_0,2022-01-24,Sales,10816.464579576406,,,,
geo_0,2022-01-31,Sales,10610.67000200128,,,,
geo_0,2022-02-07,Sales,10780.63930903521,,,,
geo_0,2022-02-14,Sales,10849.894580843315,,,,
geo_0,2022-02-21,Sales,10832.365449663403,,,,
geo_0,2022-02-28,Sales,10704.755264120418,,,,
geo_0,2022-03-07,Sales,10719.045757516473,,,,
geo_0,2022-03-14,Sales,10874.814949092732,,,,
geo_0,2022-03-21,Sales,10826.671893174906,,,,
geo_0,2022-03-28,Sales,10577.851111905054,,,,
geo_0,2022-04-04,Sales,10997.89914413921,,,,
geo_0,2022-04-11,Sales,10977.148074291244,,,,
geo_0,2022-04-18,Sales,10829.83583661039,,,,
geo_0,2022-04-25,Sales,10854.52536709409,,,,
geo_0,2022-05-02,Sales,10613.880897366165,,,,
geo_0,2022-05-09,Sales,10953.398913054405,,,,
geo_0,2022-05-16,Sales,10942.02345310143,,,,
geo_0,2022-05-23,Sales,10731.889650567075,,,,
geo_0,2022-05-30,Sales,10802.946076503411,,,,
geo_0,2022-06-06,Sales,10728.603343757037,,,,
geo_0,2022-06-13,Sales,10589.864392067024,,,,
geo_0,2022-06-20,Sales,10659.397024290736,,,,
geo_0,2022-06-27,Sales,10731.370382495841,,,,
geo_0,2022-07-04,Sales,10690.026015071566,,,,
geo_0,2022-07-11,Sales,10653.228227592692,,,,
geo_0,2022-07-18,Sales,10367.0118454705,,,,
geo_0,2022-07-25,Sales,10463.244409349201,,,,
geo_0,2022-08-01,Sales,10738.692894301405,,,,
geo_0,2022-08-08,Sales,10557.727964931324,,,,
geo_0,2022-08-15,Sales,10353.887531268882,,,,
geo_0,2022-08-22,Sales,10537.64091086275,,,,
geo_0,2022-08-29,Sales,10642.929204972072,,,,
geo_0,2022-09-05,Sales,10556.947295423775,,,,
geo_0,2022-09-12,Sales,10492.608402590617,,,,
geo_0,2022-09-19,Sales,10283.41144490789,,,,
geo_0,2022-09-26,Sales,10308.14246069618,,,,
geo_0,2022-10-03,Sales,10391.296400485844,,,,
geo_0,2022-10-10,Sales,10286.301645082425,,,,
geo_0,2022-10-17,Sales,10421.330609038643,,,,
geo_0,2022-10-24,Sales,10457.97096592498,,,,
geo_0,2022-10-31,Sales,10567.402067930994,,,,
geo_0,2022-11-07,Sales,10434.028560038458,,,,
geo_0,2022-11-14,Sales,10632.609773461134,,,,
geo_0,2022-11-21,Sales,10439.621592486932,,,,
geo_0,2022-11-28,Sales,10236.065653982421,,,,
geo_0,2022-12-05,Sales,10669.856096052552,,,,
geo_0,2022-12-12,Sales,10626.980212129623,,,,
geo_0,2022-12-19,Sales,10809.099096198257,,,,
geo_0,2022-12-26,Sales,10626.959744569904,,,,
geo_0,2023-01-02,Sales,10810.737175634717,,,,
geo_0,2023-01-09,Sales,11052.503826191467,,,,
geo_0,2023-01-16,Sales,10947.639797547148,,,,
geo_0,2023-01-23,Sales,10825.464357763105,,,,
geo_0,2023-01-30,Sales,10645.265682130528,,,,
geo_0,2023-02-06,Sales,10880.264511131396,,,,
geo_0,2023-02-13,Sales,10906.942254328866,,,,
geo_0,2023-02-20,Sales,10816.364772665866,,,,
geo_0,2023-02-27,Sales,10645.37687843736,,,,
geo_0,2023-03-06,Sales,10664.214357407434,,,,
geo_0,2023-03-13,Sales,10740.336086662348,,,,
geo_0,2023-03-20,Sales,10699.811725447715,,,,
geo_0,2023-03-27,Sales,10938.850843859404,,,,
geo_0,2023-04-03,Sales,10627.719890876378,,,,
geo_0,2023-04-10,Sales,10959.0414236655,,,,
geo_0,2023-04-17,Sales,11119.284753243683,,,,
geo_0,2023-04-24,Sales,10967.031196934491,,,,
geo_0,2023-05-01,Sales,11025.155425834928,,,,
geo_0,2023-05-08,Sales,10888.702839676278,,,,
geo_0,2023-05-15,Sales,10941.298112289049,,,,
geo_0,2023-05-22,Sales,11025.767077301054,,,,
geo_0,2023-05-29,Sales,10753.745494475237,,,,
geo_0,2023-06-05,Sales,10620.809434214925,,,,
geo_0,2023-06-12,Sales,11048.365218032968,,,,
geo_0,2023-06-19,Sales,10928.978894857937,,,,
geo_0,2023-06-26,Sales,10722.016637524981,,,,
geo_0,2023-07-03,Sales,11001.304236114041,,,,
geo_0,2023-07-10,Sales,10716.307448024898,,,,
geo_0,2023-07-17,Sales,10611.743073773176,,,,
geo_0,2023-07-24,Sales,10492.010733399433,,,,
geo_0,2023-07-31,Sales,10591.695800332893,,,,
geo_0,2023-08-07,Sales,10602.953726698677,,,,
geo_0,2023-08-14,Sales,10772.045323533812,,,,
geo_0,2023-08-21,Sales,10896.641713886325,,,,
geo_0,2023-08-28,Sales,10754.443566444565,,,,
geo_0,2023-09-04,Sales,10582.78617332002,,,,
geo_0,2023-09-11,Sales,10468.868617298995,,,,
geo_0,2023-09-18,Sales,10342.217086364171,,,,
geo_0,2023-09-25,Sales,10598.780022449275,,,,
geo_0,2023-10-02,Sales,10576.90157318852,,,,
geo_0,2023-10-09,Sales,10448.521584017893,,,,
geo_0,2023-10-16,Sales,10514.996468892736,,,,
geo_0,2023-10-23,Sales,10515.474433352829,,,,
geo_0,2023-10-30,Sales,10669.892396092486,,,,
geo_0,2023-11-06,Sales,10451.916694343292,,,,
geo_0,2023-11-13,Sales,10753.738212305001,,,,
geo_0,2023-11-20,Sales,10621.569418097693,,,,
geo_0,2023-11-27,Sales,10741.459870631987,,,,
geo_0,2023-12-04,Sales,10862.75378909011,,,,
geo_0,2023-12-11,Sales,10557.579753690425,,,,
geo_0,2023-12-18,Sales,10678.465090522182,,,,
geo_0,2023-12-25,Sales,10691.668181152974,,,,
geo_0,2024-01-01,Sales,10986.891923144847,,,,
geo_0,2024-01-08,Sales,10805.12432487082,,,,
geo_0,2024-01-15,Sales,11096.544742850147,,,,
geo_0,2024-01-22,Sales,10888.091883402165,,,,
geo_0,2024-01-29,Sales,11089.738195607039,,,,
geo_0,2024-02-05,Sales,10808.059363525517,,,,
geo_0,2024-02-12,Sales,10919.860977224489,,,,
geo_0,2024-02-19,Sales,11169.173321751625,,,,
geo_0,2024-02-26,Sales,11060.183646634234,,,,
geo_0,2024-03-04,Sales,10981.180458637853,,,,
geo_0,2024-03-11,Sales,11096.947681100692,,,,
geo_0,2024-03-18,Sales,11008.967634062219,,,,
geo_0,2024-03-25,Sales,11077.783935915504,,,,
geo_0,2024-04-01,Sales,10874.78807090028,,,,
geo_0,2024-04-08,Sales,10780.175777504885,,,,
geo_0,2024-04-15,Sales,10864.081890036885,,,,
geo_0,2024-04-22,Sales,11004.702824348444,,,,
geo_0,2024-04-29,Sales,11003.190553547749,,,,
geo_0,2024-05-06,Sales,10879.534405747547,,,,
geo_0,2024-05-13,Sales,10966.935990735134,,,,
geo_0,2024-05-20,Sales,10900.46342433873,,,,
geo_0,2024-05-27,Sales,11213.391600406156,,,,
geo_0,2024-06-03,Sales,11274.020499798451,,,,
geo_0,2024-06-10,Sales,11198.737195429532,,,,
geo_0,2024-06-17,Sales,10833.24976331904,,,,
geo_0,2024-06-24,Sales,10789.063435772181,,,,
geo_0,2024-07-01,Sales,11019.40615811619,,,,
geo_0,2024-07-08,Sales,10937.284961077938,,,,
geo_0,2024-07-15,Sales,11107.572344917855,,,,
geo_0,2024-07-22,Sales,10981.704441532927,,,,
geo_0,2024-07-29,Sales,10760.130796916514,,,,
geo_0,2024-08-05,Sales,10908.580734846222,,,,
geo_0,2024-08-12,Sales,10946.552162901606,,,,
geo_0,2024-08-19,Sales,10846.601482423514,,,,
geo_0,2024-08-26,Sales,10484.677664484516,,,,
geo_0,2024-09-02,Sales,10525.245352473208,,,,
geo_0,2024-09-09,Sales,10602.707497335809,,,,
geo_0,2024-09-16,Sales,10478.398445158668,,,,
geo_0,2024-09-23,Sales,10563.152975397894,,,,
geo_0,2024-09-30,Sales,10614.017977000787,,,,
geo_0,2024-10-07,Sales,10541.353522184101,,,,
