Period,Geography,Product,Campaign,Outlet,Creative,VariableName,VariableValue
2024-09-30,NYC,,,,,Sales,158.70065389521255
2024-09-30,LA,,,,,Sales,172.86213177603707
2024-09-30,Chicago,,,,,Sales,143.19059993259853
2024-09-30,Dallas,,,,,Sales,100.66476972161601
2024-09-30,Houston,,,,,Sales,257.42812671620374
2024-09-30,Atlanta,,,,,Sales,156.47208624006635
2024-09-30,Phoenix,,,,,Sales,194.59408695289278
2024-09-30,Seattle,,,,,Sales,143.49197933289466
2024-09-30,NYC,,,,,TV,157.06592631741648
2024-09-30,LA,,,,,TV,8.362369782038542
2024-09-30,Chicago,,,,,TV,161.6595040569899
2024-09-30,Dallas,,,,,TV,7.127009652352481
2024-09-30,Houston,,,,,TV,159.42129439829205
2024-09-30,Atlanta,,,,,TV,14.89177074067946
2024-09-30,Phoenix,,,,,TV,76.35703307018228
2024-09-30,Seattle,,,,,TV,110.24504349172976
2024-09-30,NYC,,,,,Search,2.3652294092385686
2024-09-30,LA,,,,,Search,0.3065534378720638
2024-09-30,Chicago,,,,,Search,3.4039651743281163
2024-09-30,Dallas,,,,,Search,0.17351486546961492
2024-09-30,Houston,,,,,Search,9.727469914568426
2024-09-30,Atlanta,,,,,Search,1.3856009785912564
2024-09-30,Phoenix,,,,,Search,0.24904693679759132
2024-09-30,Seattle,,,,,Search,5.879800943429674
2024-09-30,NYC,,,,,Social,0.8603717333151588
2024-09-30,LA,,,,,Social,0.37960124423912134
2024-09-30,Chicago,,,,,Social,7.494506202541438
2024-09-30,Dallas,,,,,Social,0.418403538948494
2024-09-30,Houston,,,,,Social,0.47362441999921856
2024-09-30,Atlanta,,,,,Social,5.543058371510836
2024-09-30,Phoenix,,,,,Social,2.635329791319849
2024-09-30,Seattle,,,,,Social,4.642331474986152
2024-09-30,NYC,,,,,Display,1.9075159407839886
2024-09-30,LA,,,,,Display,2.1973707676698244
2024-09-30,Chicago,,,,,Display,9.971347131309765
2024-09-30,Dallas,,,,,Display,2.381080170661996
2024-09-30,Houston,,,,,Display,31.30011027081718
2024-09-30,Atlanta,,,,,Display,26.006683136353185
2024-09-30,Phoenix,,,,,Display,2.9818627346623345
2024-09-30,Seattle,,,,,Display,2.904365860842613
2024-09-30,NYC,,,,,Price,12.334380480111966
2024-09-30,LA,,,,,Price,12.396740400553766
2024-09-30,Chicago,,,,,Price,12.191977790988966
2024-09-30,Dallas,,,,,Price,12.407602394998648
2024-09-30,Houston,,,,,Price,12.625031114655602
2024-09-30,Atlanta,,,,,Price,12.969189804183975
2024-09-30,Phoenix,,,,,Price,12.642221358658773
2024-09-30,Seattle,,,,,Price,13.148249570960123
2024-10-07,NYC,,,,,Sales,155.01406866156384
2024-10-07,LA,,,,,Sales,187.05490157273806
